Ticker,Genesis Year,Origin: Meme?,Rebrand History,Known Dead/Scam/None
CATI,2024,Yes,Catizen,None
DYM,2024,No,Dymension,None
CVX,2021,No,Convex Finance,None
SUPER,2021,No,SuperVerse,None
FIDA,2020,No,Bonfida,None
CAKE,2020,No,PancakeSwap,None
TRX,2017,No,TRON,None
HAEDAL,2024,No,Haedal Protocol,None
MEGA,2025,No,MegaETH,None
FTT,2019,No,FTX Token,Scam/Collapsed
ATA,2021,No,Automata Network,None
BCH,2017,No,Bitcoin Cash,None
ALPINE,2022,No,Alpine Fan Token,None
PIXEL,2024,No,Pixels (Game),None
DEXE,2020,No,DeXe Protocol,None
ACT,2024,No,AI Prophecy,None
TFUEL,2019,No,Theta Fuel,None
JUV,2020,No,Juventus Fan Token,None
SYN,2021,No,Synapse,None
AXL,2022,No,Axelar,None
GTC,2021,No,Gitcoin,None
LUMIA,2020,No,Orion (ORN) to Lumia,None
IQ,2018,No,Everipedia to IQ,None
LSK,2016,No,Lisk,None
DYDX,2021,No,dYdX,None
WLFI,2024,No,World Liberty Financial,None
WAL,2024,No,Walrus (Sui),None
INIT,2024,No,Initia,None
USTC,2020,No,TerraUSD (UST) to USTC,Collapsed
BNB,2017,No,Binance Coin,None
QUICK,2021,No,QuickSwap,None
SOMI,2024,No,Social Mining,None
TREE,2025,No,Tree Protocol,None
VIRTUAL,2024,No,Virtual Protocol,None
LUNC,2019,No,Terra (LUNA) to LUNC,Collapsed
BEL,2020,No,Bella Protocol,None
GRT,2020,No,The Graph,None
HEI,2024,No,Heiko (Parallel),None
XRP,2012,No,Ripple,None
USDE,2024,No,Ethena USDe,None
GPS,2025,No,GPS Token,None
COW,2022,No,CoW Protocol,None
IMX,2021,No,Immutable,None
DUSK,2019,No,Dusk Network,None
GAS,2014,No,Neo Gas,None
CITY,2021,No,Man City Fan Token,None
XPL,2022,No,XPLA,None
MAV,2023,No,Maverick Protocol,None
KSM,2019,No,Kusama,None
XTZ,2018,No,Tezos,None
VET,2017,No,VeChain,None
PUNDIX,2017,No,Pundi X,None
PIVX,2016,No,PIVX,None
TST,2024,No,Teleport System,None
SSV,2021,No,ssv.network,None
STEEM,2016,No,Steem,None
SHIB,2020,Yes,Shiba Inu,None
U,2024,No,U Protocol,None
BANANA,2024,No,Banana Gun,None
ZEN,2017,No,Horizen,None
USDS,2025,No,Sky Dollar (USDS),None
REQ,2017,No,Request,None
BARD,2024,No,Bard AI Meme/Utility,None
UNI,2020,No,Uniswap,None
PROM,2019,No,Prometeus,None
RSR,2019,No,Reserve Rights,None
INJ,2020,No,Injective,None
ZKC,2025,No,Zero Knowledge Coin,None
CGPT,2023,No,ChainGPT,None
ACE,2023,No,Fusionist,None
ARPA,2019,No,ARPA Network,None
SANTOS,2021,No,Santos FC Fan Token,None
A,2024,No,Alphabet Token,None
HOME,2024,No,RWA Home Equity,None
TWT,2020,No,Trust Wallet Token,None
GMT,2022,No,STEPN,None
PHB,2018,No,Phoenix Global,None
RONIN,2021,No,Ronin Network,None
TRB,2019,No,Tellor,None
AVNT,2024,No,Avante Protocol,None
WOO,2020,No,WOO Network,None
BONK,2022,Yes,Bonk (Solana),None
ESP,2025,No,Espresso Systems,None
AEUR,2023,No,Anchored Euro,None
MANTA,2024,No,Manta Network,None
ORDI,2023,No,Ordinals (BRC-20),None
AIXBT,2024,No,AI Agent Bitcoin,None
COMP,2020,No,Compound,None
ACM,2021,No,AC Milan Fan Token,None
XVS,2020,No,Venus,None
DIA,2020,No,DIA Oracles,None
ARKM,2023,No,Arkham Intelligence,None
ONE,2019,No,Harmony,None
LAZIO,2021,No,Lazio Fan Token,None
ROSE,2020,No,Oasis Network,None
BIO,2024,No,BIO Protocol,None
ACH,2020,No,Alchemy Pay,None
BABY,2021,Yes,BabySwap,None
SFP,2021,No,SafePal,None
KAVA,2019,No,Kava,None
CHZ,2018,No,Chiliz,None
LISTA,2024,No,Lista DAO,None
MIRA,2024,No,Mira Network,None
PYR,2021,No,Vulcan Forged,None
PARTI,2024,No,Particle Network,None
GLMR,2022,No,Moonbeam,None
YGG,2021,No,Yield Guild Games,None
SPELL,2021,No,Abracadabra Money,None
XNO,2014,No,RaiBlocks (XRB) to Nano,None
ETHFI,2024,No,ether.fi,None
SEI,2023,No,Sei Network,None
GNS,2021,No,Gains Network,None
ERA,2023,No,zkSync Era,None
BAND,2019,No,Band Protocol,None
ARB,2023,No,Arbitrum,None
DOLO,2024,No,Dolo Finance,None
HYPER,2024,No,Hyperliquid,None
QI,2021,No,BENQI,None
NFP,2023,No,NFPrompt,None
AVAX,2020,No,Avalanche,None
BNSOL,2024,No,Binance Staked SOL,None
ARDR,2016,No,Ardor,None
ASR,2020,No,AS Roma Fan Token,None
CHIP,2025,No,Chip Token,None
CFX,2020,No,Conflux,None
LTC,2011,No,Litecoin,None
POWR,2017,No,Power Ledger,None
CYBER,2023,No,CyberConnect,None
HBAR,2019,No,Hedera,None
HOT,2018,No,Holochain,None
TURBO,2023,Yes,Turbo (AI Meme),None
THETA,2018,No,Theta Network,None
TLM,2021,No,Alien Worlds,None
ZKP,2022,No,Panther Protocol,None
POLYX,2022,No,Polymesh,None
ORCA,2021,No,Orca,None
STRAX,2016,No,Stratis (STRAT) to STRAX,None
ICP,2021,No,Internet Computer,None
RARE,2021,No,SuperRare,None
PROVE,2024,No,Prove Protocol,None
LINEA,2024,No,Linea L2,None
ALT,2024,No,AltLayer,None
PEPE,2023,Yes,Pepe,None
JOE,2021,No,Trader Joe,None
ID,2023,No,SPACE ID,None
IOST,2018,No,IOST,None
NEO,2014,No,Antshares to NEO,None
EUL,2022,No,Euler Finance,None
AVA,2017,No,Travala.com,None
DGB,2014,No,DigiByte,None
XLM,2014,No,Stellar,None
SOPH,2024,No,Sophon,None
SHELL,2024,No,Shell Protocol,None
THE,2024,No,Thena,None
